Company Name,PDF Link
PTC India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b547a14f-fd72-41d3-8f52-beba629413ee.pdf
JK Tyre & Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7a14d622-685c-43a0-a59c-423a55ec4b52.pdf
Kokuyo Camlin Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3e1d7209-f94c-464e-a391-e828a0de0146.pdf
TBO TEK Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6446b334-a6f8-4b61-b425-6bb71f3cbf1a.pdf
Esab India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b55563a7-4135-4e7f-a0a8-78c6e1797963.pdf
MM Forgings Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5c306313-5dda-4167-9df3-0b3e9a45dc3c.pdf
Divis Laboratories Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9025bae6-ed1c-41e0-85e7-33682bc1edd0.pdf
IG Petrochemicals Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b92bca91-e0ac-4c98-b599-c6f92aef9393.pdf
DCB Bank Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=39b278f1-3175-445f-bbc3-ccdab1c20c8c.pdf
United Breweries Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=02798e53-8d48-4cd4-b36c-dd025fa291ea.pdf
EID Parry India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3055c1e3-5eba-4c5f-b721-b0034674b071.pdf
Go Digit General Insurance Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=61c60ae2-bb3d-4ad9-a672-758c05be995b.pdf
Bajaj Holdings & Investment Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e2830639-f65e-4ca5-a232-36c0a5007b74.pdf
Godrej Agrovet Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=166fc058-a076-44f6-807e-56c4b6313fb0.pdf
Greenpanel Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c6f5be14-d945-420b-ba03-f8e900168073.pdf
TTK Prestige Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=15d824de-f769-44ea-ac3d-40227e0675a1.pdf
Dwarikesh Sugar Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=29790f48-b975-4f78-864f-b4347bd8a779.pdf
WPIL Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=55270c27-e867-47ea-9de4-8e9b61a2963d.pdf
Fairchem Organics Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5811be46-e5d7-448f-8353-a34a109a7b99.pdf
Arvind SmartSpaces Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8ca10913-0f76-4e09-918b-6180157584c9.pdf
Bharat Forge Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8c009297-983c-460c-87ff-2ca9885538c7.pdf
DCM Shriram Industries Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e6ddb7ec-dcc0-4641-8d0d-912073977593.pdf
Uflex Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=93579ca1-555e-455b-a1d2-66b6b1afa5a0.pdf
Praj Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d4b663c2-6f5d-46ab-8c99-3c14b8af60fe.pdf
PTC India Financial Services Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0dacb2f5-9aad-48e1-b8e8-49fc2b906554.pdf
Data Patterns (India) Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=94063700-fcfe-42fa-bda3-a5c83f582d05.pdf
Balaji Amines Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a9aa0bd6-7673-4322-ba34-85cf685d211c.pdf
UNO Minda Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=33e66529-463f-43a7-b6a2-e1a5063e4cca.pdf
Prism Johnson Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=52928004-cd82-424d-bb94-5505bb2a9a9a.pdf
Dhunseri Ventures Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ff0a17df-b3c9-49ad-a10b-f223e58d4611.pdf
Mankind Pharma Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5017ff3b-3b1f-4e40-8504-66f6b3a3c4f0.pdf
Andhra Paper Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4a4580a4-8c0e-4529-a53d-7d1eda2624e3.pdf
Cummins India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c81a5ab1-eb1c-4935-9048-42a62678afc5.pdf
Chalet Hotels Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04fd42c2-744a-4d8c-aa09-754c178c30ed.pdf
Tamilnad Mercantile Bank Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bfda820b-7cfd-4e09-93b3-0af00b007be9.pdf
ITD Cementation India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ab974ae3-9e69-4be7-8a59-dc03c21b0795.pdf
Carborundum Universal Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=15b2a835-000f-4285-b5a1-3889d73bd32b.pdf
Sapphire Foods India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d961bdec-e9fc-4a59-87bf-7e3f3bbd932e.pdf
Radico Khaitan Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d6d9017-c825-444b-ba30-d2622ddad5e6.pdf
Usha Martin Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1056ccf-ba49-4962-8595-282d15bc4acd.pdf
Shilchar Technologies Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7194c875-f95b-4de1-adaf-12c83e02a7e9.pdf
Hercules Hoists Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6d65e954-fe56-40f7-9813-f2e48a10d338.pdf
Updater Services Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=50cc1205-6c4a-4cb5-bae5-29f47b1cb062.pdf
