company_name,industry,status,data_points,output_file,csv_row,error
JAIN IRRIGATION SYSTEMS LTD.,,success,98.0,esg_outputs\JAIN_IRRIGATION_SYSTEMS_LTD__esg.json,1673,
SURYA ROSHNI LTD.,,success,98.0,esg_outputs\SURYA_ROSHNI_LTD__esg.json,1674,
Manorama Industries Ltd,,success,98.0,esg_outputs\Manorama_Industries_Ltd_esg.json,1675,
JYOTI STRUCTURES LTD.,,success,98.0,esg_outputs\JYOTI_STRUCTURES_LTD__esg.json,1676,
GE T&D India Ltd,,success,98.0,esg_outputs\GE_T_D_India_Ltd_esg.json,1677,
KAJARIA CERAMICS LTD.,,success,98.0,esg_outputs\KAJARIA_CERAMICS_LTD__esg.json,1678,
DYNAMATIC TECHNOLOGIES LTD.-,,success,98.0,esg_outputs\DYNAMATIC_TECHNOLOGIES_LTD_-_esg.json,1679,
Nandan Denim Limited,,success,98.0,esg_outputs\Nandan_Denim_Limited_esg.json,1680,
MEDICAMEN BIOTECH LTD.-,,success,98.0,esg_outputs\MEDICAMEN_BIOTECH_LTD_-_esg.json,1681,
GODFREY PHILLIPS INDIA LTD.,,success,98.0,esg_outputs\GODFREY_PHILLIPS_INDIA_LTD__esg.json,1682,
Shivalik Rasayan Ltd,,success,98.0,esg_outputs\Shivalik_Rasayan_Ltd_esg.json,1683,
Rolex Rings Ltd,,success,98.0,esg_outputs\Rolex_Rings_Ltd_esg.json,1684,
Sigachi Industries Ltd,,success,98.0,esg_outputs\Sigachi_Industries_Ltd_esg.json,1685,
Renaissance Global Ltd,,success,98.0,esg_outputs\Renaissance_Global_Ltd_esg.json,1686,
ASAHI INDIA GLASS LTD.,,success,98.0,esg_outputs\ASAHI_INDIA_GLASS_LTD__esg.json,1687,
Gandhar Oil Refinery (India) Ltd,,success,98.0,esg_outputs\Gandhar_Oil_Refinery__India__Ltd_esg.json,1688,
Equitas Small Finance Bank Ltd,,success,98.0,esg_outputs\Equitas_Small_Finance_Bank_Ltd_esg.json,1689,
FORCE MOTORS LTD.-,,failed,,,1690,PDF download failed
ION EXCHANGE (INDIA) LTD.-,,failed,,,1691,PDF download failed
INDIA TOURISM DEVELOPMENT CORPORATION LTD.,,success,98.0,esg_outputs\INDIA_TOURISM_DEVELOPMENT_CORPORATION_LTD__esg.json,1692,
Prince Pipes and Fittings Ltd,,success,98.0,esg_outputs\Prince_Pipes_and_Fittings_Ltd_esg.json,1693,
SUZLON ENERGY LTD.,,success,98.0,esg_outputs\SUZLON_ENERGY_LTD__esg.json,1694,
Radiant Cash Management Services Ltd,,success,98.0,esg_outputs\Radiant_Cash_Management_Services_Ltd_esg.json,1695,
RSWM LTD.,,success,98.0,esg_outputs\RSWM_LTD__esg.json,1696,
Shyam Metalics and Energy Ltd,,success,98.0,esg_outputs\Shyam_Metalics_and_Energy_Ltd_esg.json,1697,
AIA ENGINEERING LTD.,,success,98.0,esg_outputs\AIA_ENGINEERING_LTD__esg.json,1698,
JAMNA AUTO INDUSTRIES LTD.,,success,98.0,esg_outputs\JAMNA_AUTO_INDUSTRIES_LTD__esg.json,1699,
JINDAL STAINLESS LTD.,,success,98.0,esg_outputs\JINDAL_STAINLESS_LTD__esg.json,1700,
MTAR Technologies Ltd,,success,98.0,esg_outputs\MTAR_Technologies_Ltd_esg.json,1701,
Sterling and Wilson Renewable Energy Ltd,,success,98.0,esg_outputs\Sterling_and_Wilson_Renewable_Energy_Ltd_esg.json,1702,
EPACK Durable Ltd,,success,98.0,esg_outputs\EPACK_Durable_Ltd_esg.json,1703,
Quick Heal Technologies Ltd,,success,98.0,esg_outputs\Quick_Heal_Technologies_Ltd_esg.json,1704,
DHAMPUR SUGAR MILLS LTD.,,success,98.0,esg_outputs\DHAMPUR_SUGAR_MILLS_LTD__esg.json,1705,
MAS Financial Services Ltd,,success,98.0,esg_outputs\MAS_Financial_Services_Ltd_esg.json,1706,
VINATI ORGANICS LTD.-,,success,98.0,esg_outputs\VINATI_ORGANICS_LTD_-_esg.json,1707,
IRCON International Ltd,,success,98.0,esg_outputs\IRCON_International_Ltd_esg.json,1708,
Aether Industries Ltd,,success,98.0,esg_outputs\Aether_Industries_Ltd_esg.json,1709,
G R Infraprojects Ltd,,success,98.0,esg_outputs\G_R_Infraprojects_Ltd_esg.json,1710,
5paisa Capital Ltd,,success,98.0,esg_outputs\5paisa_Capital_Ltd_esg.json,1711,
BLS E-Services Ltd,,success,98.0,esg_outputs\BLS_E-Services_Ltd_esg.json,1712,
Parag Milk Foods Ltd,,success,98.0,esg_outputs\Parag_Milk_Foods_Ltd_esg.json,1713,
ENGINEERS INDIA LTD.,,success,98.0,esg_outputs\ENGINEERS_INDIA_LTD__esg.json,1714,
RACL Geartech Ltd,,success,98.0,esg_outputs\RACL_Geartech_Ltd_esg.json,1715,
FINEOTEX CHEMICAL LTD.,,success,98.0,esg_outputs\FINEOTEX_CHEMICAL_LTD__esg.json,1716,
TRIVENI TURBINE LTD.,,failed,,,1717,PDF download failed
KOPRAN LTD.,,success,98.0,esg_outputs\KOPRAN_LTD__esg.json,1718,
Z.F.STEERING GEAR (INDIA) LTD.-,,success,98.0,esg_outputs\Z_F_STEERING_GEAR__INDIA__LTD_-_esg.json,1719,
Allcargo Gati Ltd,,success,98.0,esg_outputs\Allcargo_Gati_Ltd_esg.json,1720,
Harsha Engineers International Ltd,,success,98.0,esg_outputs\Harsha_Engineers_International_Ltd_esg.json,1721,
MOIL LTD.,,success,93.0,esg_outputs\MOIL_LTD__esg.json,1722,
Kaynes Technology India Ltd,,success,98.0,esg_outputs\Kaynes_Technology_India_Ltd_esg.json,1723,
KEI INDUSTRIES LTD.,,success,98.0,esg_outputs\KEI_INDUSTRIES_LTD__esg.json,1724,
DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,,success,98.0,esg_outputs\DEEPAK_FERTILISERS___PETROCHEMICALS_CORPORATION_LTD__esg.json,1725,
GANESHA ECOSPHERE LTD.,,success,98.0,esg_outputs\GANESHA_ECOSPHERE_LTD__esg.json,1726,
Westlife Foodworld Ltd,,success,98.0,esg_outputs\Westlife_Foodworld_Ltd_esg.json,1727,
VENKY'S (INDIA) LTD.,,success,98.0,esg_outputs\VENKY_S__INDIA__LTD__esg.json,1728,
ESAB INDIA LTD.,,success,98.0,esg_outputs\ESAB_INDIA_LTD__esg.json,1729,
TeamLease Services Ltd,,success,98.0,esg_outputs\TeamLease_Services_Ltd_esg.json,1730,
Jupiter Wagons Ltd,,success,98.0,esg_outputs\Jupiter_Wagons_Ltd_esg.json,1731,
TVS SRICHAKRA LTD.-,,success,98.0,esg_outputs\TVS_SRICHAKRA_LTD_-_esg.json,1732,
BLS International Services Ltd,,success,98.0,esg_outputs\BLS_International_Services_Ltd_esg.json,1733,
KARNATAKA BANK LTD.,,success,98.0,esg_outputs\KARNATAKA_BANK_LTD__esg.json,1734,
Bharti Hexacom Ltd,,success,98.0,esg_outputs\Bharti_Hexacom_Ltd_esg.json,1735,
KHAITAN CHEMICALS & FERTILIZERS LTD.,,success,98.0,esg_outputs\KHAITAN_CHEMICALS___FERTILIZERS_LTD__esg.json,1736,
TRIVENI ENGINEERING & INDUSTRIES LTD.,,failed,,,1737,PDF download failed
RITES Ltd,,success,98.0,esg_outputs\RITES_Ltd_esg.json,1738,
Rhetan TMT Ltd,,success,98.0,esg_outputs\Rhetan_TMT_Ltd_esg.json,1739,
PATEL ENGINEERING LTD.-,,failed,,,1740,PDF download failed
